"ref_date","user_source","share_scene","share_count","share_user"
"2017-01-05",0,1,50,44
"2017-01-05",0,2,38,30
"2017-01-05",0,5,11,8
"2017-01-06",0,1,63,51
"2017-01-06",0,2,46,36
"2017-01-06",0,5,4,3
"2017-01-07",0,1,49,36
"2017-01-07",0,2,21,18
"2017-01-07",0,5,8,6
"2017-01-08",0,1,32,23
"2017-01-08",0,2,12,11
"2017-01-08",0,5,4,3
"2017-01-09",0,1,26,22
"2017-01-09",0,2,20,14
"2017-01-09",0,5,8,2
"2017-01-10",0,1,39,25
"2017-01-10",0,2,38,26
"2017-01-10",0,5,8,7
"2017-01-11",0,1,188,152
"2017-01-11",0,2,152,142
"2017-01-11",0,5,7,6
"2017-01-12",0,1,78,68
"2017-01-12",0,2,75,58
"2017-01-12",0,5,7,5
"2017-01-13",0,1,45,37
"2017-01-13",0,2,29,24
"2017-01-13",0,5,4,4
"2017-01-14",0,1,18,13
"2017-01-14",0,2,22,18
"2017-01-14",0,5,3,3
"2017-01-15",0,1,22,17
"2017-01-15",0,2,22,20
"2017-01-15",0,5,1,1
"2017-01-16",0,1,57,40
"2017-01-16",0,2,37,23
"2017-01-16",0,5,6,5
"2017-01-17",0,1,114,86
"2017-01-17",0,2,88,66
"2017-01-17",0,5,5,3
"2017-01-18",0,1,84,42
"2017-01-18",0,2,36,30
"2017-01-18",0,5,6,3
"2017-01-19",0,1,33,28
"2017-01-19",0,2,29,23
"2017-01-20",0,1,25,20
"2017-01-20",0,2,29,24
"2017-01-20",0,5,6,6
"2017-01-21",0,1,34,25
"2017-01-21",0,2,44,38
"2017-01-22",0,1,19,17
"2017-01-22",0,2,28,23
"2017-01-22",0,5,7,5
"2017-01-23",0,1,44,37
"2017-01-23",0,2,34,28
"2017-01-23",0,5,9,7
"2017-01-24",0,1,28,24
"2017-01-24",0,2,27,23
"2017-01-24",0,5,5,5
"2017-01-25",0,1,20,15
"2017-01-25",0,2,7,6
"2017-01-25",0,5,4,4
"2017-01-26",0,1,15,14
"2017-01-26",0,2,15,14
"2017-01-26",0,5,4,4
"2017-01-27",0,1,9,8
"2017-01-27",0,2,4,4
"2017-01-27",0,5,1,1
"2017-01-28",0,1,18,16
"2017-01-28",0,2,15,14
"2017-01-28",0,5,3,2
"2017-01-29",0,1,20,17
"2017-01-29",0,2,16,16
"2017-01-29",0,5,2,2
"2017-01-30",0,1,25,17
"2017-01-30",0,2,10,10
"2017-01-30",0,5,2,2
"2017-01-31",0,1,5,5
"2017-01-31",0,2,7,6
"2017-01-31",0,5,1,1
"2017-02-01",0,1,23,15
"2017-02-01",0,2,16,15
"2017-02-01",0,5,4,3
"2017-02-02",0,1,12,10
"2017-02-02",0,2,7,5
"2017-02-03",0,1,65,54
"2017-02-03",0,2,54,34
"2017-02-03",0,5,15,5
"2017-02-04",0,1,48,37
"2017-02-04",0,2,29,25
"2017-02-04",0,5,9,5
"2017-02-05",0,1,21,16
"2017-02-05",0,2,23,20
"2017-02-05",0,5,1,1
"2017-02-06",0,1,34,28
"2017-02-06",0,2,23,18
"2017-02-06",0,5,10,5
"2017-02-07",0,1,93,50
"2017-02-07",0,2,65,50
"2017-02-07",0,5,19,5
"2017-02-08",0,1,39,32
"2017-02-08",0,2,35,25
"2017-02-08",0,5,16,2
"2017-02-09",0,1,81,66
"2017-02-09",0,2,48,34
"2017-02-09",0,5,22,4
"2017-02-10",0,1,42,36
"2017-02-10",0,2,25,19
"2017-02-10",0,5,20,5
"2017-02-11",0,1,73,59
"2017-02-11",0,2,43,42
"2017-02-11",0,5,3,3
"2017-02-12",0,1,28,20
"2017-02-12",0,2,20,18
"2017-02-13",0,1,47,36
"2017-02-13",0,2,32,21
"2017-02-13",0,5,23,4
"2017-02-14",0,1,73,53
"2017-02-14",0,2,51,30
"2017-02-14",0,5,6,4
"2017-02-15",0,1,52,43
"2017-02-15",0,2,45,31
"2017-02-15",0,5,21,5
"2017-02-16",0,1,36,29
"2017-02-16",0,2,39,24
"2017-02-16",0,5,31,5
"2017-02-17",0,1,27,20
"2017-02-17",0,2,37,22
"2017-02-17",0,5,6,4
"2017-02-18",0,1,24,18
"2017-02-18",0,2,18,17
"2017-02-18",0,5,3,2
"2017-02-19",0,1,27,22
"2017-02-19",0,2,17,14
"2017-02-20",0,1,27,22
"2017-02-20",0,2,38,24
"2017-02-20",0,5,23,1
"2017-02-21",0,1,61,44
"2017-02-21",0,2,57,41
"2017-02-21",0,5,28,5
"2017-02-22",0,1,85,58
"2017-02-22",0,2,59,33
"2017-02-22",0,5,2,2
"2017-02-23",0,1,51,30
"2017-02-23",0,2,38,22
"2017-02-23",0,5,25,3
"2017-02-24",0,1,50,24
"2017-02-24",0,2,24,14
"2017-02-24",0,5,7,5
"2017-02-25",0,1,66,48
"2017-02-25",0,2,50,35
"2017-02-25",0,5,4,4
"2017-02-26",0,1,67,54
"2017-02-26",0,2,35,34
"2017-02-26",0,5,9,7
"2017-02-27",0,1,93,49
"2017-02-27",0,2,49,24
"2017-02-27",0,5,7,4
"2017-02-28",0,1,110,78
"2017-02-28",0,2,89,64
"2017-02-28",0,5,7,5
"2017-03-01",0,1,67,50
"2017-03-01",0,2,71,63
"2017-03-01",0,5,4,3
"2017-03-02",0,1,96,78
"2017-03-02",0,2,85,73
"2017-03-02",0,5,5,4
"2017-03-03",0,1,51,41
"2017-03-03",0,2,43,29
"2017-03-03",0,5,11,6
"2017-03-04",0,1,13,10
"2017-03-04",0,2,14,10
"2017-03-04",0,5,5,2
"2017-03-05",0,1,44,30
"2017-03-05",0,2,29,28
"2017-03-05",0,5,2,2
"2017-03-06",0,1,34,19
"2017-03-06",0,2,25,15
"2017-03-06",0,5,9,4
"2017-03-07",0,1,67,31
"2017-03-07",0,2,36,23
"2017-03-07",0,5,4,3
"2017-03-08",0,1,75,51
"2017-03-08",0,2,57,41
"2017-03-08",0,5,5,3
"2017-03-09",0,1,83,60
"2017-03-09",0,2,56,41
"2017-03-09",0,5,8,4
"2017-03-10",0,1,88,44
"2017-03-10",0,2,37,24
"2017-03-10",0,5,5,3
"2017-03-11",0,1,57,42
"2017-03-11",0,2,46,43
"2017-03-11",0,5,4,4
"2017-03-12",0,1,72,52
"2017-03-12",0,2,55,48
"2017-03-12",0,5,2,1
"2017-03-13",0,1,102,55
"2017-03-13",0,2,76,58
"2017-03-13",0,5,15,6
"2017-03-14",0,1,63,40
"2017-03-14",0,2,39,29
"2017-03-14",0,5,12,6
"2017-03-15",0,1,46,37
"2017-03-15",0,2,42,27
"2017-03-15",0,5,10,9
"2017-03-16",0,1,109,89
"2017-03-16",0,2,98,81
"2017-03-16",0,5,5,3
"2017-03-17",0,1,80,56
"2017-03-17",0,2,65,54
"2017-03-17",0,5,6,3
"2017-03-18",0,1,47,31
"2017-03-18",0,2,28,27
"2017-03-18",0,5,1,1
"2017-03-19",0,1,33,29
"2017-03-19",0,2,44,42
"2017-03-19",0,5,5,1
"2017-03-20",0,1,38,25
"2017-03-20",0,2,36,20
"2017-03-20",0,5,10,4
"2017-03-21",0,1,41,27
"2017-03-21",0,2,25,17
"2017-03-21",0,5,6,6
"2017-03-22",0,1,136,97
"2017-03-22",0,2,87,73
"2017-03-22",0,5,5,4
"2017-03-23",0,1,67,51
"2017-03-23",0,2,55,37
"2017-03-23",0,5,5,5
"2017-03-24",0,1,43,33
"2017-03-24",0,2,44,35
"2017-03-24",0,5,7,2
"2017-03-25",0,1,41,35
"2017-03-25",0,2,27,24
"2017-03-25",0,5,6,2
"2017-03-26",0,1,76,52
"2017-03-26",0,2,60,56
"2017-03-26",0,5,10,8
"2017-03-27",0,1,82,57
"2017-03-27",0,2,64,52
"2017-03-27",0,5,9,4
"2017-03-28",0,1,65,45
"2017-03-28",0,2,40,26
