ref_date,ref_hour,user_source,share_scene,share_count,share_user
2016/6/20,1900,0,2,2,2
2016/6/20,1900,0,5,1,1
2016/6/20,2000,0,1,2,2
2016/6/20,2000,0,2,1,1
2016/6/20,2100,0,1,2,1
2016/6/20,2100,0,2,5,4
2016/6/20,2300,0,1,1,1
2016/6/20,2300,0,2,1,1
2016/6/21,900,0,1,1,1
2016/6/21,900,0,5,1,1
2016/6/21,1300,0,1,1,1
2016/6/21,1300,0,5,1,1
2016/6/21,1500,0,2,4,2
2016/6/21,1800,0,5,1,1
2016/6/21,1900,0,1,22,8
2016/6/21,1900,0,2,6,4
2016/6/21,2000,0,1,11,5
2016/6/21,2000,0,2,1,1
2016/6/21,2100,0,1,4,3
2016/6/21,2100,0,2,1,1
2016/6/21,2200,0,1,1,1
2016/6/21,2300,0,1,1,1
2016/6/21,2300,0,2,3,2
2016/6/22,400,0,2,2,1
2016/6/22,900,0,2,1,1
2016/6/22,1100,0,2,3,2
2016/6/22,1300,0,1,1,1
2016/6/22,1600,0,1,1,1
2016/6/22,1700,0,2,2,2
2016/6/22,1800,0,1,2,2
2016/6/22,1800,0,5,1,1
2016/6/22,1900,0,1,10,6
2016/6/22,1900,0,2,8,8
2016/6/22,1900,0,5,1,1
2016/6/22,2000,0,1,5,5
2016/6/22,2000,0,5,1,1
2016/6/22,2100,0,1,5,4
2016/6/22,2200,0,1,4,4
2016/6/22,2200,0,5,1,1
2016/6/23,1000,0,1,1,1
2016/6/23,1100,0,1,1,1
2016/6/23,1100,0,2,1,1
2016/6/23,1200,0,2,1,1
2016/6/23,1400,0,1,2,1
2016/6/23,1500,0,1,2,1
2016/6/23,1700,0,5,1,1
2016/6/23,1900,0,1,21,3
2016/6/23,1900,0,2,4,4
2016/6/23,2000,0,2,3,2
2016/6/23,2100,0,1,1,1
2016/6/23,2100,0,2,1,1
2016/6/23,2300,0,1,1,1
2016/6/24,1000,0,1,1,1
2016/6/24,1000,0,2,1,1
2016/6/24,1100,0,2,2,2
2016/6/24,1200,0,1,1,1
2016/6/24,1200,0,2,1,1
2016/6/24,1400,0,5,1,1
2016/6/24,1600,0,1,1,1
2016/6/24,1700,0,1,1,1
2016/6/24,1800,0,1,2,2
2016/6/24,2000,0,2,1,1
2016/6/24,2200,0,1,2,1
2016/6/24,2300,0,1,4,1
2016/6/25,800,0,2,1,1
2016/6/25,1000,0,1,1,1
2016/6/25,2200,0,2,1,1
2016/6/26,2100,0,1,1,1
2016/6/27,1300,0,5,1,1
2016/6/27,1400,0,1,1,1
2016/6/27,1500,0,1,2,1
2016/6/27,1800,0,1,2,2
2016/6/27,1800,0,2,6,4
2016/6/27,1900,0,2,1,1
2016/6/27,2000,0,2,1,1
2016/6/27,2200,0,1,2,2
2016/6/27,2300,0,2,2,2
2016/6/28,0,0,1,1,1
2016/6/28,1700,0,1,8,3
2016/6/28,1700,0,2,4,4
2016/6/28,1800,0,1,9,6
2016/6/28,1800,0,2,4,4
2016/6/28,1800,0,5,3,1
2016/6/28,1900,0,1,8,6
2016/6/28,1900,0,2,7,7
2016/6/28,2000,0,1,1,1
2016/6/28,2000,0,2,3,3
2016/6/28,2100,0,1,1,1
2016/6/28,2100,0,2,4,4
2016/6/28,2200,0,1,1,1
2016/6/28,2200,0,2,4,2
2016/6/28,2300,0,1,6,2
2016/6/28,2300,0,2,2,2
2016/6/29,0,0,1,1,1
2016/6/29,0,0,2,1,1
2016/6/29,700,0,1,1,1
2016/6/29,800,0,1,2,1
2016/6/29,800,0,2,2,1
2016/6/29,900,0,1,1,1
2016/6/29,900,0,2,2,2
2016/6/29,1000,0,1,2,2
2016/6/29,1000,0,2,2,2
2016/6/29,1100,0,2,1,1
2016/6/29,1200,0,1,1,1
2016/6/29,1200,0,2,1,1
2016/6/29,1300,0,1,2,1
2016/6/29,1300,0,2,1,1
2016/6/29,1400,0,1,3,3
2016/6/29,1400,0,2,2,2
2016/6/29,1700,0,1,5,4
2016/6/29,1700,0,2,2,2
2016/6/29,1800,0,1,1,1
2016/6/29,1900,0,1,14,6
2016/6/29,1900,0,2,8,7
2016/6/29,2000,0,1,3,2
2016/6/29,2000,0,2,7,7
2016/6/29,2100,0,1,4,2
2016/6/29,2100,0,2,4,4
2016/6/29,2200,0,1,1,1
2016/6/29,2200,0,2,4,4
2016/6/29,2300,0,1,2,2
2016/6/29,2300,0,2,1,1
2016/6/30,0,0,1,1,1
2016/6/30,100,0,2,1,1
2016/6/30,200,0,2,1,1
2016/6/30,300,0,2,1,1
2016/6/30,400,0,1,1,1
2016/6/30,400,0,2,1,1
2016/6/30,700,0,2,3,3
2016/6/30,800,0,1,1,1
2016/6/30,800,0,2,2,2
2016/6/30,900,0,1,1,1
2016/6/30,900,0,2,4,4
2016/6/30,1000,0,1,1,1
2016/6/30,1000,0,5,1,1
2016/6/30,1100,0,1,1,1
2016/6/30,1100,0,2,1,1
2016/6/30,1200,0,1,3,3
2016/6/30,1200,0,2,2,2
2016/6/30,1300,0,1,2,2
2016/6/30,1300,0,2,1,1
2016/6/30,1400,0,2,1,1
2016/6/30,1500,0,2,3,3
2016/6/30,1700,0,1,2,2
2016/6/30,1700,0,2,2,2
2016/6/30,1800,0,1,12,9
2016/6/30,1800,0,2,6,4
2016/6/30,1800,0,5,1,1
2016/6/30,1900,0,1,22,2
2016/6/30,1900,0,2,3,2
2016/6/30,1900,0,5,1,1
2016/6/30,2000,0,1,1,1
2016/6/30,2000,0,2,3,3
2016/6/30,2100,0,1,1,1
2016/6/30,2100,0,2,3,3
2016/6/30,2300,0,1,3,1
2016/7/1,0,0,1,1,1
2016/7/1,600,0,1,3,2
2016/7/1,600,0,2,1,1
2016/7/1,700,0,1,5,2
2016/7/1,800,0,2,1,1
2016/7/1,900,0,2,2,2
2016/7/1,1000,0,1,2,2
2016/7/1,1000,0,2,1,1
2016/7/1,1200,0,1,1,1
