"ref_date","user_source","cumulate_user"
"2018-03-23",0,14241
"2018-03-24",0,14247
"2018-03-25",0,14247
"2018-03-26",0,14246
"2018-03-27",0,14250
"2018-03-28",0,14254
"2018-03-29",0,14258
"2018-03-30",0,14266
"2018-03-31",0,14267
"2018-04-01",0,14271
"2018-04-02",0,14275
"2018-04-03",0,14286
"2018-04-04",0,14288
"2018-04-05",0,14293
"2018-04-06",0,14299
"2018-04-07",0,14306
"2018-04-08",0,14323
"2018-04-09",0,14329
"2018-04-10",0,14337
"2018-04-11",0,14342
"2018-04-12",0,14343
"2018-04-13",0,14374
"2018-04-14",0,14378
"2018-04-15",0,14387
"2018-04-16",0,14392
"2018-04-17",0,14401
"2018-04-18",0,14401
"2018-04-19",0,14402
"2018-04-20",0,14417
"2018-04-21",0,14420
"2018-04-22",0,14431
"2018-04-23",0,14439
"2018-04-24",0,14445
"2018-04-25",0,14451
"2018-04-26",0,14454
"2018-04-27",0,14457
"2018-04-28",0,14464
"2018-04-29",0,14462
"2018-04-30",0,14461
"2018-05-01",0,14467
"2018-05-02",0,14476
"2018-05-03",0,14481
"2018-05-04",0,14487
"2018-05-05",0,14487
"2018-05-06",0,14489
"2018-05-07",0,14488
"2018-05-08",0,14494
"2018-05-09",0,14500
"2018-05-10",0,14503
"2018-05-11",0,14502
"2018-05-12",0,14506
"2018-05-13",0,14510
"2018-05-14",0,14510
"2018-05-15",0,14510
"2018-05-16",0,14515
"2018-05-17",0,14516
"2018-05-18",0,14519
"2018-05-19",0,14520
"2018-05-20",0,14523
"2018-05-21",0,14538
"2018-05-22",0,14540
"2018-05-23",0,14541
"2018-05-24",0,14546
"2018-05-25",0,14554
"2018-05-26",0,14553
"2018-05-27",0,14551
"2018-05-28",0,14571
"2018-05-29",0,14577
"2018-05-30",0,14585
"2018-05-31",0,14596
"2018-06-01",0,14599
"2018-06-02",0,14605
"2018-06-03",0,14612
"2018-06-04",0,14611
"2018-06-05",0,14618
"2018-06-06",0,14626
"2018-06-07",0,14630
"2018-06-08",0,14630
"2018-06-09",0,14629
"2018-06-10",0,14633
"2018-06-11",0,14637
"2018-06-12",0,14644
"2018-06-13",0,14649
"2018-06-14",0,14651
"2018-06-15",0,14658
"2018-06-16",0,14655
"2018-06-17",0,14656
"2018-06-18",0,14658
"2018-06-19",0,14658
"2018-06-20",0,14656
"2018-06-21",0,14657
"2018-06-22",0,14651
"2018-06-23",0,14649
"2018-06-24",0,14648
"2018-06-25",0,14655
"2018-06-26",0,14659
"2018-06-27",0,14663
"2018-06-28",0,14665
"2018-06-29",0,14672
"2018-06-30",0,14680
"2018-07-01",0,14682
"2018-07-02",0,14687
"2018-07-03",0,14693
"2018-07-04",0,14690
"2018-07-05",0,14698
"2018-07-06",0,14708
"2018-07-07",0,14716
"2018-07-08",0,14716
"2018-07-09",0,14719
"2018-07-10",0,14726
"2018-07-11",0,14733
"2018-07-12",0,14733
"2018-07-13",0,14740
"2018-07-14",0,14739
"2018-07-15",0,14745
"2018-07-16",0,14742
"2018-07-17",0,14742
"2018-07-18",0,14751
"2018-07-19",0,14750
"2018-07-20",0,14762
"2018-07-21",0,14762
"2018-07-22",0,14763
"2018-07-23",0,14768
"2018-07-24",0,14771
"2018-07-25",0,14777
"2018-07-26",0,14775
"2018-07-27",0,14779
"2018-07-28",0,14776
"2018-07-29",0,14781
"2018-07-30",0,14789
"2018-07-31",0,14795
"2018-08-01",0,14797
"2018-08-02",0,14800
"2018-08-03",0,14807
"2018-08-04",0,14816
"2018-08-05",0,14821
"2018-08-06",0,14825
"2018-08-07",0,14827
"2018-08-08",0,14831
"2018-08-09",0,14832
"2018-08-10",0,14833
"2018-08-11",0,14844
"2018-08-12",0,14850
"2018-08-13",0,14852
"2018-08-14",0,14851
"2018-08-15",0,14851
"2018-08-16",0,14852
"2018-08-17",0,14865
"2018-08-18",0,14880
"2018-08-19",0,14894
"2018-08-20",0,14906
"2018-08-21",0,14913
"2018-08-22",0,14915
"2018-08-23",0,14921
"2018-08-24",0,14919
"2018-08-25",0,14921
"2018-08-26",0,14924
"2018-08-27",0,14925
"2018-08-28",0,14922
"2018-08-29",0,14922
"2018-08-30",0,14924
"2018-08-31",0,14932
"2018-09-01",0,14933
"2018-09-02",0,14934
"2018-09-03",0,14932
"2018-09-04",0,14933
"2018-09-05",0,14938
"2018-09-06",0,14943
"2018-09-07",0,14947
"2018-09-08",0,14948
"2018-09-09",0,14951
"2018-09-10",0,14951
"2018-09-11",0,14953
"2018-09-12",0,14959
"2018-09-13",0,14961
"2018-09-14",0,14963
"2018-09-15",0,14964
"2018-09-16",0,14962
"2018-09-17",0,14966
"2018-09-18",0,14965
"2018-09-19",0,14968
"2018-09-20",0,14969
"2018-09-21",0,14969
"2018-09-22",0,14969
"2018-09-23",0,14976
"2018-09-24",0,14977
"2018-09-25",0,14979
"2018-09-26",0,14975
"2018-09-27",0,14978
"2018-09-28",0,14977
"2018-09-29",0,14978
"2018-09-30",0,14978
"2018-10-01",0,14979
"2018-10-02",0,14979
"2018-10-03",0,14977
"2018-10-04",0,14980
"2018-10-05",0,14982
"2018-10-06",0,14983
"2018-10-07",0,14982
"2018-10-08",0,14991
"2018-10-09",0,14997
"2018-10-10",0,15008
"2018-10-11",0,15008
"2018-10-12",0,15014
"2018-10-13",0,15012
"2018-10-14",0,15010
"2018-10-15",0,15007
"2018-10-16",0,15011
"2018-10-17",0,15020
"2018-10-18",0,15026
"2018-10-19",0,15026
"2018-10-20",0,15028
"2018-10-21",0,15028
"2018-10-22",0,15033
"2018-10-23",0,15032
"2018-10-24",0,15037
"2018-10-25",0,15034
"2018-10-26",0,15038
"2018-10-27",0,15039
"2018-10-28",0,15037
"2018-10-29",0,15038
"2018-10-30",0,15042
"2018-10-31",0,15049
"2018-11-01",0,15048
"2018-11-02",0,15055
"2018-11-03",0,15057
"2018-11-04",0,15059
"2018-11-05",0,15060
"2018-11-06",0,15061
"2018-11-07",0,15066
"2018-11-08",0,15066
"2018-11-09",0,15069
"2018-11-10",0,15071
"2018-11-11",0,15073
"2018-11-12",0,15069
"2018-11-13",0,15074
"2018-11-14",0,15080
"2018-11-15",0,15076
"2018-11-16",0,15088
"2018-11-17",0,15093
"2018-11-18",0,15101
"2018-11-19",0,15102
"2018-11-20",0,15104
"2018-11-21",0,15109
