"ref_date","user_source","int_page_read_user","int_page_read_count","ori_page_read_user","ori_page_read_count","share_user","share_count","add_to_fav_user","add_to_fav_count"
"2018-05-10",1,84,100,0,0,0,0,0,0
"2018-05-10",2,386,409,0,0,0,0,0,0
"2018-05-10",5,28,1607,0,0,0,0,0,0
"2018-05-10",6,23,25,0,0,0,0,0,0
"2018-05-10",7,18,19,0,0,0,0,0,0
"2018-05-11",0,589,991,0,0,35,47,5,5
"2018-05-11",1,45,63,0,0,0,0,0,0
"2018-05-11",2,125,134,0,0,0,0,0,0
"2018-05-11",4,1,4,0,0,0,0,0,0
"2018-05-11",5,19,589,0,0,0,0,0,0
"2018-05-11",6,68,71,0,0,0,0,0,0
"2018-05-11",7,25,27,0,0,0,0,0,0
"2018-05-12",0,510,810,0,0,53,67,3,3
"2018-05-12",1,99,123,0,0,0,0,0,0
"2018-05-12",2,189,196,0,0,0,0,0,0
"2018-05-12",5,19,421,0,0,0,0,0,0
"2018-05-12",6,401,412,0,0,0,0,0,0
"2018-05-12",7,20,22,0,0,0,0,0,0
"2018-05-13",0,509,813,0,0,70,88,22,25
"2018-05-13",1,189,217,0,0,0,0,0,0
"2018-05-13",2,299,317,0,0,0,0,0,0
"2018-05-13",5,23,573,0,0,0,0,0,0
"2018-05-13",6,418,431,0,0,0,0,0,0
"2018-05-13",7,10,11,0,0,0,0,0,0
"2018-05-14",0,564,922,0,0,61,72,20,22
"2018-05-14",1,164,206,0,0,0,0,0,0
"2018-05-14",2,281,295,0,0,0,0,0,0
"2018-05-14",4,1,1,0,0,0,0,0,0
"2018-05-14",5,28,799,0,0,0,0,0,0
"2018-05-14",6,926,953,0,0,0,0,0,0
"2018-05-14",7,23,27,0,0,0,0,0,0
"2018-05-15",0,556,908,0,0,26,31,4,6
"2018-05-15",1,56,69,0,0,0,0,0,0
"2018-05-15",2,78,84,0,0,0,0,0,0
"2018-05-15",5,43,647,0,0,0,0,0,0
"2018-05-15",6,261,270,0,0,0,0,0,0
"2018-05-15",7,19,21,0,0,0,0,0,0
"2018-05-16",0,606,964,0,0,76,99,6,7
"2018-05-16",1,164,196,0,0,0,0,0,0
"2018-05-16",2,426,457,0,0,0,0,0,0
"2018-05-16",5,30,663,0,0,0,0,0,0
"2018-05-16",6,75,77,0,0,0,0,0,0
"2018-05-16",7,21,22,0,0,0,0,0,0
"2018-05-17",0,862,1428,0,0,48,58,9,12
"2018-05-17",1,81,113,0,0,0,0,0,0
"2018-05-17",2,243,261,0,0,0,0,0,0
"2018-05-17",5,45,604,0,0,0,0,0,0
"2018-05-17",6,55,59,0,0,0,0,0,0
"2018-05-17",7,18,20,0,0,0,0,0,0
"2018-05-18",0,512,982,0,0,40,60,4,4
"2018-05-18",1,92,119,0,0,0,0,0,0
"2018-05-18",2,211,237,0,0,0,0,0,0
"2018-05-18",5,28,678,0,0,0,0,0,0
"2018-05-18",6,29,29,0,0,0,0,0,0
"2018-05-18",7,15,17,0,0,0,0,0,0
"2018-05-19",0,1042,1701,0,0,145,203,5,7
"2018-05-19",1,329,360,0,0,0,0,0,0
"2018-05-19",2,2068,2254,0,0,0,0,0,0
"2018-05-19",5,61,692,0,0,0,0,0,0
"2018-05-19",6,21,22,0,0,0,0,0,0
"2018-05-19",7,16,17,0,0,0,0,0,0
"2018-05-20",0,472,855,0,0,105,134,7,7
"2018-05-20",1,232,258,0,0,0,0,0,0
"2018-05-20",2,1442,1531,0,0,0,0,0,0
"2018-05-20",5,38,732,0,0,0,0,0,0
"2018-05-20",6,320,346,0,0,0,0,0,0
"2018-05-20",7,17,18,0,0,0,0,0,0
"2018-05-21",0,741,1214,0,0,280,311,6,7
